ind,price
1,3184
2,3184
3,3184
4,3184
5,3184
6,3184
7,3184
8,3184
9,3184
10,3184
11,3184
12,3184
13,3184
14,3184
15,3184
16,3184
17,3184
18,3184
19,3184
20,3184
21,3184
22,3184
23,3184
24,3184
25,3184
26,3184
27,3184
28,3184
29,3184
30,3184
31,3184
32,3184
33,3184
34,3184
35,3184
36,3184
37,3184
38,3184
39,3184
40,3184
41,3184
42,3184
43,3184
44,3184
45,3184
46,3184
47,3184
48,3184
49,3184
50,3184
51,3184
52,3184
53,3184
54,3184
55,3184
56,3184
57,3184
58,3184
59,3184
60,3184
61,3184
62,3184
63,3184
64,3184
65,3184
66,3184
67,3184
68,3184
69,3184
70,3184
71,3184
72,3184
73,3184
74,3184
75,3184
76,3184
77,3184
78,3184
79,3184
80,3184
81,3184
82,3184
83,3184
84,3184
85,3184
86,3184
87,3184
88,3184
89,3184
90,3184
91,3184
92,3184
93,3184
94,3184
95,3184
96,3184
97,3184
98,3184
99,3184
100,3184
101,3184
102,3184
103,3184
104,3184
105,3184
106,3184
107,3184
108,3184
109,3184
110,3184
111,3184
112,3184
113,3184
114,3184
115,3184
116,3184
117,3184
118,3184
119,3184
120,3184
121,3184
122,3184
123,3184
124,3184
125,3184
126,3184
127,3184
128,3184
129,3184
130,3184
131,3184
132,3184
133,3184
134,3184
135,3184
136,3184
137,3184
138,3184
139,3184
140,3184
141,3184
142,3184
143,3184
144,3184
145,3184
146,3184
147,3184
148,3184
149,3184
150,3184
151,3184
152,3184
153,3184
154,3184
155,3184
156,3184
157,3184
158,3184
159,3184
160,3184
161,3184
162,3184
163,3184
164,3184
165,3184
166,3184
167,3184
168,3184
169,3184
170,3184
171,3184
172,3184
173,3184
174,3184
175,3184
176,3184
177,3184
178,3184
179,3184
180,3184
181,3184
182,3184
183,3184
184,3184
185,3184
186,3184
187,3184
188,3184
189,3184
190,3184
191,3184
192,3184
193,3184
194,3184
195,3184
196,3184
197,3184
198,3184
199,3184
200,3184
201,3184
202,3184
203,3184
204,3184
205,3184
206,3184
207,3184
208,3184
209,3184
210,3184
211,3184
212,3184
213,3184
214,3184
215,3184
216,3184
217,3184
218,3184
219,3184
220,3184
221,3184
222,3184
223,3184
224,3184
225,3184
226,3184
227,3184
228,3184
229,3184
230,3184
231,3184
232,3184
233,3184
234,3184
235,3184
236,3184
237,3184
238,3184
239,3184
240,3184
241,3184
242,3184
243,3184
244,3184
245,3184
246,3184
247,3184
248,3184
249,3184
250,3184
251,3184
252,3184
253,3184
254,3184
255,3184
256,3184
257,3184
258,3184
259,3184
260,3184
261,3184
262,3184
263,3184
264,3184
265,3184
266,3184
267,3184
268,3184
269,3184
270,3184
271,3184
272,3184
273,3184
274,3184
275,3184
276,3184
277,3184
278,3184
279,3184
280,3184
281,3184
282,3184
283,3184
284,3184
285,3184
286,3184
287,3184
288,3184
289,3184
290,3184
291,3184
292,3184
293,3184
294,3184
295,3184
296,3184
297,3184
298,3184
299,3184
300,3184
301,3184
302,3184
303,3184
304,3184
305,3184
306,3184
307,3184
308,3184
309,3184
310,3184
311,3184
312,3184
313,3184
314,3184
315,3184
316,3184
317,3184
318,3184
319,3184
320,3184
321,3184
322,3184
323,3184
324,3184
325,3184
326,3184
327,3184
328,3184
329,3184
330,3184
331,3184
332,3184
333,3184
334,3184
335,3184
336,3184
337,3184
338,3184
339,3184
340,3184
341,3184
342,3184
343,3184
344,3184
345,3184
346,3184
347,3184
348,3184
349,3184
350,3184
351,3184
352,3184
353,3184
354,3184
355,3184
356,3184
357,3184
358,3184
359,3184
360,3184
361,3184
362,3184
363,3184
364,3184
365,3184
366,3184
367,3184
368,3184
369,3184
370,3184
371,3184
372,3184
373,3184
374,3184
375,3184
376,3184
377,3184
378,3184
379,3184
380,3184
381,3184
382,3184
383,3184
384,3184
